route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
28,28-Saturday-1-21FAL-0000010,2734302,Stanley Park,0,308852,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734303,Stanley Park,0,308849,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734304,Stanley Park,0,308851,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734305,Stanley Park,0,308850,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734306,Stanley Park,0,308853,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734307,Stanley Park,0,305170,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734308,Stanley Park,0,308818,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734309,Stanley Park,0,305173,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734310,Stanley Park,0,305174,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734311,Stanley Park,0,305179,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734312,Stanley Park,0,305170,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734313,Stanley Park,0,308818,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734314,Stanley Park,0,305173,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734315,Stanley Park,0,305174,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734316,Stanley Park,0,305179,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734317,Fairway Station,1,308851,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734318,Fairway Station,1,308850,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734319,Fairway Station,1,308853,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734320,Fairway Station,1,308854,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734321,Fairway Station,1,308852,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734322,Fairway Station,1,308849,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734323,Fairway Station,1,308851,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734324,Fairway Station,1,308850,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734325,Fairway Station,1,308853,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734326,Fairway Station,1,308854,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734327,Fairway Station,1,308852,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734328,Fairway Station,1,308849,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734329,Fairway Station,1,308851,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734330,Fairway Station,1,308850,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734331,Fairway Station,1,308853,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734332,Fairway Station,1,308854,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734333,Fairway Station,1,308852,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734334,Fairway Station,1,308849,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734335,Fairway Station,1,308851,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734336,Fairway Station,1,308850,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734337,Fairway Station,1,308853,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734338,Fairway Station,1,305170,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734339,Fairway Station,1,308818,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734340,Fairway Station,1,305173,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734341,Fairway Station,1,305174,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734342,Fairway Station,1,305179,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734343,Fairway Station,1,305170,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734344,Fairway Station,1,308818,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734345,Fairway Station,1,305173,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734346,Fairway Station,1,305174,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734347,Fairway Station,1,305179,280008,1,1
28,28-Saturday-1-21FAL-0000010,2734348,Stanley Park,0,308852,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734349,Stanley Park,0,308852,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734350,Stanley Park,0,308849,280007,1,1
28,28-Saturday-1-21FAL-0000010,2734351,Fairway Station,1,308852,280008,1,1
